description,Zeitkonstante,Raumlufttemperatur Auslegung Kuehlung (Sommer),Raumlufttemperatur Auslegung Heizen (Winter),Nettogeschossflaeche,Thermische Gebaeudehuellflaeche,Glasanteil,U-Wert opake Bauteile,U-Wert Fenster,Abminderungsfaktor fuer Fensterrahmen,Aussenluft-Volumenstrom (pro NGF),Aussenluft-Volumenstrom durch Infiltration,Temperatur-Aenderungsgrad der Waermerueckgewinnung,"Waermeeintragsleistung Personen (bei 24.0 deg C, bzw. 70 W)",Waermeeintragsleistung der Raumbeleuchtung,Waermeeintragsleistung der Geraete,Vollaststunden pro Jahr (Personen),Jaehrliche Vollaststunden der Raumbeleuchtung,Jaehrliche Vollaststunden der Geraete,Gesamtenergiedurchlassgrad Verglasung,Gesamtenergiedurchlassgrad Verglasung und Sonnenschutz,Kosten opake Bauteile,Kosten transparente Bauteile,Emissionen opake Bauteile,Emissionen transparente Bauteile,Strahlungsleistung fuer Betaetigung Sonnenschutz
"1.1 Wohnen Mehrfamilienhaus",68,26,21,20,26,30,0.8,1.5,0.75,1,0.3,NaN,2.3,2.7,10,4090,1450,1780,0.65,0.2,268,420,64,50,200
"1.2 Wohnen Einfamilienhaus",56,26,21,20,38,30,0.8,1.5,0.75,0.6,0.3,NaN,1.4,2.7,10,4090,1450,1780,0.65,0.2,268,420,64,50,200
"2.1 Hotelzimmer",66,26,21,20,26,30,0.8,1.5,0.75,2.4,0.3,0.5,4.7,2.7,10,3120,1150,1530,0.65,0.2,268,420,64,50,200
"2.2 Empfang, Lobby",47,26,21,144,113,50,0.8,1.5,0.75,7.2,0.3,0.5,4.7,2.7,10,2890,3900,2990,0.65,0.2,268,420,64,50,200
"3.1 Einzel-, Gruppenbuero",61,26,21,36,42,50,0.8,1.5,0.75,2.6,0.3,0.5,5,15.9,15,1500,1210,1930,0.65,0.2,268,420,64,50,200
"3.2 Grossraumbuero",60,26,21,144,127,50,0.8,1.5,0.75,3.6,0.3,0.5,7,12.5,19,1500,1860,1930,0.65,0.2,268,420,64,50,200
"3.3 Sitzungszimmer",33,26,21,36,42,50,0.8,1.5,0.75,12,0.3,0.5,23.3,15.9,3,840,660,1410,0.65,0.2,268,420,64,50,200
"3.4 Schalterhalle, Empfang",73,26,20,144,113,50,0.8,1.5,0.75,2.5,0.3,0.5,5.8,11,9.5,1500,1310,1930,0.65,0.2,268,420,64,50,200
"4.1 Schulzimmer",25,26,21,70,95,50,0.8,1.5,0.75,8.3,0.3,NaN,23.3,14,6,1390,1180,1770,0.65,0.2,268,420,64,50,200
"4.2 Lehrerzimmer",20,26,21,36,64,50,0.8,1.5,0.75,12,0.3,NaN,23.3,11.6,6,1090,1030,1510,0.65,0.2,268,420,64,50,200
"4.3 Bibliothek",30,26,21,144,127,50,0.8,1.5,0.75,7.2,0.3,0.5,14,6.9,3,1090,1240,1510,0.65,0.2,268,420,64,50,200
"4.4 Hoehrsaal",29,26,21,144,127,50,0.8,1.5,0.75,15,0.3,0.5,35,12.5,6,1390,1630,1770,0.65,0.2,268,420,64,50,200
"4.5 Schulfachraum",42,26,21,70,95,50,0.8,1.5,0.75,6,0.3,0.5,14,14,9.5,1390,1180,1770,0.65,0.2,268,420,64,50,200
"5.1 Lebensmittelverkauf",59,26,20,400,376,50,0.8,1.5,0.75,3.8,0.3,0.5,8.8,9.3,-12,1650,2670,4010,0.65,0.2,268,420,64,50,200
"5.2 Fachgeschaeft",59,26,20,400,376,50,0.8,1.5,0.75,3.8,0.3,0.5,8.8,9.3,3,1650,2670,3630,0.65,0.2,268,420,64,50,200
"5.3 Verkauf Moebel, Bau, Garten",71,26,20,400,376,50,0.8,1.5,0.75,2,0.3,0.5,4.7,9.3,3,1550,2420,3410,0.65,0.2,268,420,64,50,200
"6.1 Restaurant",24,26,21,144,169,50,0.8,1.5,0.75,36,0.3,0.5,35,6.9,3,1300,2430,2250,0.65,0.2,268,420,64,50,200
"6.2 Selbstbedienungsrestaurant",25,26,21,400,282,50,0.8,1.5,0.75,18,0.3,0.5,35,6.1,3,750,1440,1750,0.65,0.2,268,420,64,50,200
"6.3 Kueche zu Restaurant",23,28,20,36,64,50,0.8,1.5,0.75,20,0.3,0.5,18,15.9,250,2150,2310,2530,0.65,0.2,268,420,64,50,200
"6.4 Kueche zu Selbstbedienungsrestaurant",23,28,20,144,127,50,0.8,1.5,0.75,20,0.3,0.5,18,12.5,250,1250,1830,1730,0.65,0.2,268,420,64,50,200
"7.1 Vorstellungsraum",36,26,21,400,494,NaN,0.8,1.5,0.75,12,0.3,0.5,23.3,10.8,3,1900,3000,2300,0.65,0.2,268,420,64,50,200
"7.2 Mehrzweckhalle",32,26,21,400,494,50,0.8,1.5,0.75,12,0.3,0.5,23.3,10.8,6,2600,2770,2990,0.65,0.2,268,420,64,50,200
"7.3 Ausstellungshalle",32,26,21,400,494,50,0.8,1.5,0.75,12,0.3,0.5,23.3,10.8,15,2600,2770,2900,0.65,0.2,268,420,64,50,200
"8.1 Bettenzimmer",54,26,22,36,35,50,0.8,1.5,0.75,2.4,0.3,NaN,4.7,4.5,6,7010,3020,1750,0.65,0.2,268,420,64,50,200
"8.2 Stationszimmer",23,26,21,36,21,50,0.8,1.5,0.75,12,0.3,0.5,23.3,15.9,15,3150,5480,3150,0.65,0.2,268,420,64,50,200
"8.3 Behandlungsraum",30,26,22,36,42,50,0.8,1.5,0.75,10,0.3,0.5,6,10.8,15,2960,3980,3360,0.65,0.2,268,420,64,50,200
"9.1 Produktion (grobe Arbeit)",35,30,18,400,494,50,0.8,1.5,0.75,10,0.3,0.5,6,10.8,15,2960,3980,3360,0.65,0.2,268,420,64,50,200
"9.2 Produktion (feine Arbeit)",35,26,20,400,494,50,0.8,1.5,0.75,10,0.3,0.5,4.7,14.7,15,1500,1560,2440,0.65,0.2,268,420,64,50,200
"9.3 Laborraum",22,26,21,70,127,50,0.8,1.5,0.75,20,0.3,0.5,4.7,16.2,25,1500,1140,2440,0.65,0.2,268,420,64,50,200
"10.1 Lagerhalle",56,NaN,18,400,494,50,0.8,1.5,0.75,1.5,0.3,NaN,2.3,4.8,NaN,2960,3940,3160,0.65,0.2,268,420,64,50,200
"11.1 Turnhalle",37,NaN,18,600,659,50,0.8,1.5,0.75,4.5,0.3,NaN,6,10.5,NaN,2120,1920,4270,0.65,0.2,268,420,64,50,200
"11.2 Fitnessraum",40,26,18,144,127,50,0.8,1.5,0.75,9,0.3,0.5,12,9.9,3,2900,3000,5710,0.65,0.2,268,420,64,50,200
"11.3 Schwimmhalle",54,30,24,400,494,50,0.8,1.5,0.75,3.6,0.3,0.5,7,11.3,3,2900,2630,5710,0.65,0.2,268,420,64,50,200
"12.1 Verkehrsflaeche",116,NaN,18,20,6,30,0.8,1.5,0.75,2,0.3,NaN,NaN,7,NaN,1400,2970,NaN,0.65,0.2,268,420,64,50,200
"12.2 Verkehrsflaeche 24 h",116,NaN,18,20,6,30,0.8,1.5,0.75,2,0.3,NaN,NaN,12.3,NaN,2040,6440,NaN,0.65,0.2,268,420,64,50,200
"12.3 Treppenhaus",116,NaN,18,20,6,30,0.8,1.5,0.75,2,0.3,NaN,NaN,7,NaN,1400,2970,NaN,0.65,0.2,268,420,64,50,200
"12.4 Nebenraum",120,NaN,18,20,12,30,0.8,1.5,0.75,0.5,0.3,NaN,NaN,6,NaN,1400,2170,NaN,0.65,0.2,268,420,64,50,200
"12.5 Kueche, Teekueche",16,NaN,20,20,12,30,0.8,1.5,0.75,20,0.3,NaN,35,8.9,50,960,1240,1430,0.65,0.2,268,420,64,50,200
"12.6 WC, Bad, Dusche",19,NaN,21,20,12,30,0.8,1.5,0.75,16,0.3,NaN,NaN,10.5,NaN,1250,1240,NaN,0.65,0.2,268,420,64,50,200
"12.7 WC",35,NaN,20,4,6,30,0.8,1.5,0.75,8,0.3,NaN,NaN,17.2,NaN,1250,2300,NaN,0.65,0.2,268,420,64,50,200
"12.8 Garderobe, Dusche",15,NaN,21,36,21,30,0.8,1.5,0.75,20,0.3,NaN,NaN,9.9,NaN,1500,1490,NaN,0.65,0.2,268,420,64,50,200
"12.9 Parkhaus",122,NaN,NaN,400,NaN,NaN,0.8,1.5,0.75,2,0.3,NaN,NaN,2.9,2,1750,3210,2130,0.65,0.2,268,420,64,50,200
"12.10 Wasch- und Trockenraum",53,NaN,NaN,36,21,30,0.8,1.5,0.75,,0.3,NaN,NaN,9.9,25,1750,1730,1720,0.65,0.2,268,420,64,50,200
"12.11 Kuehlraum",198,2,2,36,21,NaN,0.8,1.5,0.75,,0.3,NaN,NaN,5.7,NaN,NaN,NaN,3180,0.65,0.2,268,420,64,50,200
"12.12 Serverraum",117,26,18,20,14,NaN,0.8,1.5,0.75,,0.3,0.5,NaN,6.6,150,1750,NaN,7010,0.65,0.2,268,420,64,50,200
